path	type	size_bytes	modified_time	git_status	category	importance	include_in_upload	reason
.DS_Store	file	8196	2026-08-05T17:05:03	ignored	generated	exclude	no	macOS metadata
.github/.DS_Store	file	6148	2026-08-03T11:11:18	ignored	generated	exclude	no	macOS metadata
.github/workflows/ci.yml	file	767	2026-08-02T10:32:50	clean	config	useful	yes	CI validation scope
.gitignore	file	636	2026-08-02T10:57:36	clean	config	essential	yes	generated-output and local-runtime exclusions
aztec/.DS_Store	file	8196	2026-08-03T11:11:18	ignored	generated	exclude	no	macOS metadata
aztec/configs/double_dimer_benchmark.csv	file	75	2026-08-01T21:41:08	clean	config	essential	yes	frozen schedules for production and smoke runs
aztec/configs/double_dimer_campaign.csv	file	294	2026-08-02T10:55:51	clean	config	essential	yes	frozen schedules for production and smoke runs
aztec/configs/double_dimer_large_continuation.csv	file	171	2026-08-02T06:40:30	clean	config	essential	yes	frozen schedules for production and smoke runs
aztec/configs/double_dimer_smoke.csv	file	75	2026-08-02T10:35:41	clean	config	essential	yes	frozen schedules for production and smoke runs
aztec/configs/gamma_height_benchmark.csv	file	95	2026-07-30T18:23:24	clean	config	essential	yes	frozen schedules for production and smoke runs
aztec/configs/gamma_height_extension_benchmark.csv	file	91	2026-08-01T20:06:15	clean	config	essential	yes	frozen schedules for production and smoke runs
aztec/configs/gamma_height_extension_stage1.csv	file	68	2026-08-01T20:31:36	clean	config	essential	yes	frozen schedules for production and smoke runs
aztec/configs/gamma_height_extension_stage2.csv	file	72	2026-08-01T20:31:36	clean	config	essential	yes	frozen schedules for production and smoke runs
aztec/configs/gamma_height_extension.csv	file	70	2026-08-01T20:10:26	clean	config	essential	yes	frozen schedules for production and smoke runs
aztec/configs/gamma_height_large_stage1.csv	file	112	2026-07-30T18:23:49	clean	config	essential	yes	frozen schedules for production and smoke runs
aztec/configs/gamma_height_large_stage2.csv	file	103	2026-08-02T10:13:35	clean	config	essential	yes	frozen schedules for production and smoke runs
aztec/configs/gamma_height_new_sizes.csv	file	80	2026-08-01T21:41:08	clean	config	essential	yes	frozen schedules for production and smoke runs
aztec/configs/gamma_height_pilot.csv	file	167	2026-07-29T15:35:36	clean	config	essential	yes	frozen schedules for production and smoke runs
aztec/configs/gamma_height_smoke.csv	file	53	2026-08-02T10:35:41	clean	config	essential	yes	frozen schedules for production and smoke runs
aztec/configs/README.md	file	1918	2026-08-02T11:10:38	clean	documentation	useful	yes	schedule conventions and campaign notes
aztec/configs/spatial_publication_gamma.csv	file	163	2026-08-02T11:03:39	clean	config	essential	yes	frozen schedules for production and smoke runs
aztec/configs/spatial_publication_uniform.csv	file	160	2026-08-02T11:03:39	clean	config	essential	yes	frozen schedules for production and smoke runs
aztec/configs/spatial_smoke.csv	file	94	2026-08-02T11:09:23	clean	config	essential	yes	frozen schedules for production and smoke runs
aztec/data/double_dimer/campaign_metadata.txt	file	807	2026-08-02T10:13:10	clean	aggregate_result	useful	yes	exact retained dataset provenance
aztec/data/double_dimer/pairs.csv	file	1232514	2026-08-02T09:59:41	clean	raw_result	exclude	no	large retained raw observation table
aztec/data/examples/gamma_L200/a_weights_gamma.txt	file	848940	2026-07-29T16:46:22	clean	generated	useful	yes	small illustrative example inputs and outputs
aztec/data/examples/gamma_L200/b_weights_gamma.txt	file	838849	2026-07-29T16:46:22	clean	generated	useful	yes	small illustrative example inputs and outputs
aztec/data/examples/gamma_L200/run_metadata.txt	file	1501	2026-07-29T16:46:22	clean	generated	useful	yes	small illustrative example inputs and outputs
aztec/data/examples/gamma_L200/tiling_matrix.txt	file	320000	2026-07-29T16:46:22	clean	generated	useful	yes	small illustrative example inputs and outputs
aztec/data/examples/uniform_L200/run_metadata.txt	file	1079	2026-07-29T16:46:22	clean	generated	useful	yes	small illustrative example inputs and outputs
aztec/data/examples/uniform_L200/tiling_matrix.txt	file	320000	2026-07-29T16:46:22	clean	generated	useful	yes	small illustrative example inputs and outputs
aztec/data/examples/uniform_L200/weights_uniform_0_1.txt	file	3199997	2026-07-29T16:46:22	clean	generated	useful	yes	small illustrative example inputs and outputs
aztec/data/height/campaign_metadata.txt	file	1048	2026-08-02T10:26:23	clean	aggregate_result	useful	yes	exact retained dataset provenance
aztec/data/height/center_height_samples.csv	file	1371860	2026-08-02T09:59:41	clean	raw_result	exclude	no	large retained raw observation table
aztec/data/README.md	file	1721	2026-08-02T10:08:35	clean	documentation	useful	yes	retained dataset descriptions
aztec/docs/IMPLEMENTATION.md	file	6006	2026-08-02T10:38:51	clean	documentation	useful	yes	code-flow and recurrence walkthrough
aztec/Manifest.toml	file	1763	2026-08-02T11:07:32	ignored	config	essential	yes	Julia package metadata and dependency lock
aztec/mathematica/draw_tiling.wl	file	1292	2026-08-02T10:25:52	clean	unknown	optional	no	not part of the current upload set
aztec/Project.toml	file	481	2026-08-02T10:27:35	clean	config	essential	yes	Julia package metadata and dependency lock
aztec/README.md	file	8320	2026-08-02T16:45:59	clean	documentation	essential	yes	active project guide and scientific summary
aztec/results/analysis_report.md	file	3353	2026-08-02T10:31:35	clean	documentation	useful	yes	retained result summary and interpretation
aztec/results/double_dimer/disorder_covariance_fits.png	file	162860	2026-08-02T10:39:54	clean	figure	useful	yes	retained figures for interpretation
